family_rep	verdict	out_tokens
arabic_1	passed	30205
arabic_2	passed	38664
arabic_3	passed	27361
arabic_4	passed	35643
cyrillic_1	passed	15595
cyrillic_2	passed	15726
cyrillic_3	passed	34175
cyrillic_4	passed	16863
entves_1	passed	10434
entves_2	passed	22731
entves_3	passed	16620
entves_4	passed	15104
latin_only_1	BLOCKED	0
latin_only_2	BLOCKED	0
latin_only_3	BLOCKED	0
latin_only_4	passed	12116
latind_1	BLOCKED	0
latind_2	empty	0
latind_3	BLOCKED	0
latind_4	empty	0
chind_1	BLOCKED	0
chind_2	BLOCKED	0
chind_3	BLOCKED	0
chind_4	BLOCKED	0
western_1	passed	22572
western_2	passed	10533
western_3	passed	21768
western_4	passed	19703
