record_id,decision,matched_uid
C873820,NO_MATCH,
C493060,MATCH,AR-91576
C542352,NO_MATCH,
C274671,MATCH,AR-85185
C596123,MATCH,AR-26965
C775483,MATCH,AR-12935
C409097,NO_MATCH,
C720065,MATCH,AR-63648
C735094,NO_MATCH,
C842473,NO_MATCH,
C148274,NO_MATCH,
C832777,NO_MATCH,
C423265,MATCH,AR-13868
C213207,NO_MATCH,
C893318,MATCH,AR-50188
C420175,NO_MATCH,
C528670,NO_MATCH,
C502271,NO_MATCH,
C262450,NO_MATCH,
C220863,NO_MATCH,
C257562,NO_MATCH,
C106149,NO_MATCH,
C384870,NO_MATCH,
C857026,MATCH,AR-49427
C444116,NO_MATCH,
C695024,MATCH,AR-98901
C723010,MATCH,AR-62040
C683047,NO_MATCH,
C318321,MATCH,AR-29211
C277983,NO_MATCH,
C763918,NO_MATCH,
C351872,NO_MATCH,
C923647,MATCH,AR-39446
C115270,NO_MATCH,
C101301,NO_MATCH,
C577324,MATCH,AR-86861
C897029,MATCH,AR-87393
C511839,MATCH,AR-56408
C391772,NO_MATCH,
C569740,NO_MATCH,
C322700,MATCH,AR-37744
C853310,MATCH,AR-42675
C973678,NO_MATCH,
C643138,MATCH,AR-57038
C163104,NO_MATCH,
C694581,NO_MATCH,
C397783,NO_MATCH,
C707947,NO_MATCH,
C967038,MATCH,AR-78644
C829672,NO_MATCH,
C237176,MATCH,AR-53581
C515392,NO_MATCH,
C411734,MATCH,AR-53398
C459944,NO_MATCH,
C213488,NO_MATCH,
C342964,NO_MATCH,
C214039,MATCH,AR-21880
C364655,NO_MATCH,
C127129,NO_MATCH,
C934075,NO_MATCH,
C709602,NO_MATCH,
C312840,NO_MATCH,
C188760,NO_MATCH,
C858530,MATCH,AR-55672
C408085,NO_MATCH,
C566918,NO_MATCH,
C599287,NO_MATCH,
C354872,MATCH,AR-59827
C941606,NO_MATCH,
C340969,NO_MATCH,
C990474,NO_MATCH,
C705911,NO_MATCH,
C971990,NO_MATCH,
C284398,MATCH,AR-74227
C643647,NO_MATCH,
C247825,NO_MATCH,
C695264,NO_MATCH,
C600553,MATCH,AR-95255
C484751,MATCH,AR-57675
C411153,NO_MATCH,
C297302,MATCH,AR-28376
C631059,NO_MATCH,
C670938,MATCH,AR-87352
C594994,MATCH,AR-80277
C602719,MATCH,AR-23500
C872221,NO_MATCH,
C796677,NO_MATCH,
C201919,MATCH,AR-40875
C679901,MATCH,AR-22871
C943756,NO_MATCH,
C380754,NO_MATCH,
C113445,NO_MATCH,
C198669,NO_MATCH,
C179083,MATCH,AR-17556
C941851,NO_MATCH,
C850836,NO_MATCH,
C796965,MATCH,AR-90421
C605641,NO_MATCH,
C859583,NO_MATCH,
C515262,MATCH,AR-50101
C733583,NO_MATCH,
C417456,NO_MATCH,
C788030,NO_MATCH,
C544886,NO_MATCH,
C925252,MATCH,AR-10605
C402062,NO_MATCH,
C288376,MATCH,AR-63769
C693602,NO_MATCH,
C640821,NO_MATCH,
C240628,MATCH,AR-54476
C751695,MATCH,AR-45573
C540902,NO_MATCH,
C739097,NO_MATCH,
C934566,MATCH,AR-72007
C839036,NO_MATCH,
C127072,MATCH,AR-47149
C431501,NO_MATCH,
C560466,NO_MATCH,
C318555,NO_MATCH,
C255378,NO_MATCH,
C114518,NO_MATCH,
C629916,NO_MATCH,
C992701,NO_MATCH,
C720980,MATCH,AR-66697
C485177,NO_MATCH,
C772776,MATCH,AR-57676
C591458,MATCH,AR-31900
C162846,NO_MATCH,
C692371,NO_MATCH,
C489841,MATCH,AR-99711
C676818,NO_MATCH,
C916674,MATCH,AR-74379
C773449,MATCH,AR-99673
C520685,NO_MATCH,
C394095,NO_MATCH,
C163002,MATCH,AR-98335
C349505,MATCH,AR-50899
C814823,NO_MATCH,
C138803,MATCH,AR-56682
C896281,NO_MATCH,
C210168,MATCH,AR-39879
C575512,MATCH,AR-49834
C492343,NO_MATCH,
C941656,MATCH,AR-59321
C760417,MATCH,AR-63953
C905731,NO_MATCH,
C495627,MATCH,AR-51115
C680530,NO_MATCH,
C328344,MATCH,AR-42283
C525470,MATCH,AR-76256
C336846,NO_MATCH,
C370475,MATCH,AR-94221
C810454,MATCH,AR-82221
C681996,NO_MATCH,
C564331,NO_MATCH,
C380489,MATCH,AR-65754
C755812,NO_MATCH,
C208547,NO_MATCH,
C356347,MATCH,AR-90109
C461824,MATCH,AR-64102
C515073,NO_MATCH,
C881356,NO_MATCH,
C338287,NO_MATCH,
C175514,NO_MATCH,
C503649,NO_MATCH,
C507958,NO_MATCH,
C575020,MATCH,AR-13489
C708870,NO_MATCH,
C272824,MATCH,AR-57717
C841083,MATCH,AR-42927
C162211,MATCH,AR-87315
C816622,NO_MATCH,
C865025,NO_MATCH,
C431998,MATCH,AR-35158
C224315,MATCH,AR-24330
C923233,NO_MATCH,
C480297,MATCH,AR-73333
C881372,NO_MATCH,
C704803,NO_MATCH,
C493642,NO_MATCH,
C681296,NO_MATCH,
C217842,MATCH,AR-22089
C445920,NO_MATCH,
C115308,NO_MATCH,
C734885,NO_MATCH,
C971935,NO_MATCH,
C976392,MATCH,AR-77944
C557485,MATCH,AR-65176
C970842,NO_MATCH,
C357576,MATCH,AR-74251
C735462,MATCH,AR-59738
C297365,MATCH,AR-10412
C244964,NO_MATCH,
C134332,NO_MATCH,
C605227,NO_MATCH,
C930422,MATCH,AR-95211
C308474,NO_MATCH,
C247146,MATCH,AR-10583
C220508,NO_MATCH,
C899490,MATCH,AR-89896
C524037,NO_MATCH,
C438368,NO_MATCH,
C127346,NO_MATCH,
C943697,MATCH,AR-35167
C528087,NO_MATCH,
C376391,NO_MATCH,
C250870,NO_MATCH,
C793652,NO_MATCH,
C855571,NO_MATCH,
C185027,MATCH,AR-17536
C601738,NO_MATCH,
C280391,MATCH,AR-66317
C791643,NO_MATCH,
C729265,MATCH,AR-37108
C797054,NO_MATCH,
C407531,MATCH,AR-73250
C913427,NO_MATCH,
C177735,NO_MATCH,
C225771,NO_MATCH,
C594908,NO_MATCH,
C701258,NO_MATCH,
C196979,NO_MATCH,
C256692,MATCH,AR-96996
C768625,MATCH,AR-13224
C813916,MATCH,AR-74827
C177948,NO_MATCH,
C363926,NO_MATCH,
C545301,NO_MATCH,
C346811,NO_MATCH,
C952154,NO_MATCH,
C630964,MATCH,AR-27168
C541606,NO_MATCH,
C504055,MATCH,AR-40375
C748672,NO_MATCH,
C808557,MATCH,AR-26551
C985289,NO_MATCH,
C815847,NO_MATCH,
C707836,NO_MATCH,
C810858,MATCH,AR-14759
C116350,NO_MATCH,
C102005,MATCH,AR-86698
C512243,NO_MATCH,
C441507,NO_MATCH,
C824944,MATCH,AR-81718
C468626,NO_MATCH,
C631982,NO_MATCH,
C612219,NO_MATCH,
C514202,NO_MATCH,
C906372,NO_MATCH,
C496252,NO_MATCH,
C838310,NO_MATCH,
C762752,MATCH,AR-96148
C189885,MATCH,AR-87543
C827248,MATCH,AR-82383
C611952,NO_MATCH,
C768891,NO_MATCH,
C366991,NO_MATCH,
C948097,MATCH,AR-85273
C276249,MATCH,AR-14667
C167404,NO_MATCH,
C693993,NO_MATCH,
C826928,MATCH,AR-80573
C527801,NO_MATCH,
C820683,NO_MATCH,
C255102,NO_MATCH,
C980682,NO_MATCH,
C493812,NO_MATCH,
C711339,NO_MATCH,
C235959,NO_MATCH,
C519046,MATCH,AR-21807
C212012,NO_MATCH,
C111575,NO_MATCH,
C140407,NO_MATCH,
C429643,NO_MATCH,
C826983,NO_MATCH,
C694683,NO_MATCH,
C861333,MATCH,AR-42953
C932499,NO_MATCH,
C791205,NO_MATCH,
C605723,MATCH,AR-11883
C536238,NO_MATCH,
C443184,MATCH,AR-79978
C791858,NO_MATCH,
C483159,MATCH,AR-32527
C179053,NO_MATCH,
C170362,NO_MATCH,
C560611,NO_MATCH,
C818331,NO_MATCH,
C783887,NO_MATCH,
C138647,MATCH,AR-28726
C883595,NO_MATCH,
C635514,NO_MATCH,
C809105,NO_MATCH,
C120175,NO_MATCH,
C475217,NO_MATCH,
C302837,MATCH,AR-55253
C736111,NO_MATCH,
C664678,NO_MATCH,
C612474,NO_MATCH,
C635719,NO_MATCH,
C298434,MATCH,AR-58511
C441244,NO_MATCH,
C600570,MATCH,AR-60636
C751785,NO_MATCH,
C374697,NO_MATCH,
C674216,NO_MATCH,
C478852,NO_MATCH,
C338081,NO_MATCH,
C470241,NO_MATCH,
C779328,NO_MATCH,
C951531,NO_MATCH,
C420758,MATCH,AR-67430
C422528,NO_MATCH,
C259272,NO_MATCH,
C241828,NO_MATCH,
